,Name,Symbol,Exchange,Sector,Industry,Last,Chg. %,Market Cap,Vol.,P/E Ratio,"MACD (12,26 / 1D)",Revenue,Average Vol. (3m),EPS,Beta,Dividend,Yield,15 Minutes,Hourly,Daily,Weekly,Monthly,Daily,1 Week,1 Month,YTD,1 Year,3 Years,1-Year Change,Dividend Yield (%),P/E Ratio (TTM),Price to Sales (TTM),Price to Cash Flow (MRQ),Price to Free Cash Flow (TTM),Price to Book (MRQ),Price to Tangible Book (MRQ),EPS(MRQ) vs Qtr. 1 Yr. Ago,EPS(TTM) vs TTM 1 Yr. Ago,5 Year EPS Growth,Sales (MRQ) vs Qtr. 1 Yr. Ago,Sales (TTM) vs TTM 1 Yr. Ago (TTM),5 Year Sales Growth,5 Year Capital Spending Growth,Asset Turnover (TTM),Inventory Turnover (TTM),Revenue/Employee (TTM),Net Income/Employee (TTM),Receivable Turnover (TTM),52 wk Range - High,52 wk Range - Low,% Change from 52 wk High,% Change from 52 wk Low,Previous Month % Change,Gross margin (TTM),Gross Margin (5YA),Operating margin (TTM),Operating margin (5YA),Pretax margin (TTM),Pretax margin (5YA),Net Profit margin (TTM),Net Profit margin (5YA),Quick Ratio (MRQ),Current Ratio (MRQ),LT Debt to Equity (MRQ),Total Debt to Equity,Dividend Yield 5 Year Avg. (5YA),Dividend Growth Rate (ANN),Payout Ratio (TTM),ADX (14 / 1D),ATR (14 / 1D),Bull/Bear Power (13 / 1D),CCI (14 / 1D),Highs/Lows (14 / 1D),ROC (1D),RSI (14 / 1D),STOCH (14 / 1D),STOCHRSI (14 / 1D),Ultimate Oscillator (14 /1D),Williams %R (1D)
709,Fii Rb Capital I,RFOF11,BM&FBovespa,Financial,Capital Markets,73.4,-0.88%,79.14M,2.09K,-,-0.64,-,2.45K,-,-,8.76,-,Strong Sell,Strong Sell,Neutral,Neutral,Strong Buy,-0.88,-1.13,-3.48,-2.07,3.97,-,4.51,11.93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,67.06,-9.38,9.45,-6.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.24,1.73,-0.78,34.29,0.00,3.38,45.17,58.88,81.19,53.16,-45.84
710,FII Castello Branco Office,CBOP11,BM&FBovespa,Financial,Capital Markets,54.89,-0.18%,77.67M,191.00,-,-0.59,-,689.00,-,-,5.88,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-0.18,-0.76,-4.70,-12.87,-7.04,-38.17,-8.50,10.71%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,54.01,-26.81,1.63,-0.71%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.53,1.20,-1.39,-129.00,-0.15,-3.67,36.68,32.40,40.50,40.12,-78.20
711,Diamante,DAMT11B,SOMA,Financial,Capital Markets,16,6.95%,77.42M,24.00,-,0.09,-,115.00,-,-,-,-,Strong Buy,Strong Buy,Strong Buy,Buy,Strong Buy,6.95,7.96,6.24,-3.04,-11.57,1.03K,-13.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.24,11.13,-39.02,43.76,-9.64%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.09,1.03,0.63,109.05,0.82,-12.77,55.08,70.22,100.00,71.57,-32.65
712,Wetzel,MWET3,BM&FBovespa,Consumer Discretionary,Auto Components,29.98,0%,76.58M,0.00,0.83,-1.87,276.42M,140.00,12.44,0.97,-,-,Sell,Sell,Neutral,Strong Buy,Neutral,0.00,0.00,-0.03,33.24,33.24,328.29,33.24,-,1.33,0.12,-124.56,-2.38,-1.52,-,1.33K,-85.04,-,19.38,23.01,14.95,61.88,1.13,7.07,-,-,11.02,35.1,16.05,-14.59,86.79,-0.03%,15.98,10.62,6.73,16.94,9.62,9.36,9.13,10.52,0.32,1.01,-,-309.08,-,0.00,0.00,57.02,2.63,5.67,78.35,6.18,33.24,50.81,75.13,78.84,67.07,-26.88
713,Bluemacaw Office,BLMO11,BM&FBovespa,Financial,Capital Markets,20000,0%,75.94M,0.00,-,2.39K,-,25.00,-,-,312.24,-,Neutral,Sell,Sell,Sell,-,0.00,0.26,0.26,-23.09,-23.09,-,-23.09,1.56%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25999,15000,-23.07,33.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.41,2.24K,-4.97K,-78.67,-2.42K,-18.91,41.44,84.37,79.70,57.05,-33.68
714,Sondotecnica Pref A,SOND5,BM&FBovespa,Industrials,Construction & Engineering,31.21,0%,75.88M,0.00,5.48,-1.98,120.72M,650.00,5.70,-0.01,6.63,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,0.00,0.00,-2.53,-13.33,-13.33,-13.33,-13.33,21.26%,4.82,0.73,4.02,8.10,1.39,1.56,-39.31,127.92,-15.34,86.27,68.12,-0.97,6.31,1.36,0.00,-,-,5.18,49.5,30.19,-36.95,3.38,-2.53%,38.27,31.91,13.84,11.91,17.29,17.98,15.26,16.04,0.00,2.21,3.09,0.00,-,824.72,145.33,37.35,1.58,-7.05,-98.77,-2.28,-29.07,36.30,43.88,2.13,52.24,-92.61
715,Sondotecnica Pref B,SOND6,BM&FBovespa,Industrials,Construction & Engineering,32.35,0%,75.88M,0.00,5.48,-2.82,120.72M,810.00,5.70,-0.01,6.63,-,Buy,Buy,Strong Sell,Neutral,Sell,0.00,0.00,1.09,-8.90,-8.90,-4.85,-8.90,20.51%,5.48,0.63,4.11,4.76,1.31,1.56,-39.31,127.92,-15.34,86.27,68.12,-0.97,6.31,1.36,0.00,-,-,5.18,49.3,32,-34.38,1.09,1.09%,38.27,31.91,13.84,11.91,17.29,17.98,15.26,16.04,2.13,2.21,3.09,3.74,-,824.72,145.33,31.60,2.70,-3.20,-56.74,-3.21,-8.87,41.55,3.34,6.50,46.74,-97.98
716,MANGELS INDL PN,MGEL4,BM&FBovespa,Consumer Discretionary,Auto Components,12.98,1.41%,75.07M,3.70K,0.90,-0.86,1.01B,2.23K,14.27,1.02,-,-,Strong Sell,Neutral,Strong Sell,Strong Sell,Neutral,1.41,1.25,-13.47,-11.70,-6.21,81.54,-3.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.75,12,-34.28,8.17,-9.03%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.92,0.56,-1.29,-105.17,-0.42,-13.47,33.29,36.26,49.29,53.68,-78.99
717,IFI-E Inter Fundo de Investimento Imobiliario,ITIT11,BM&FBovespa,Financial,Capital Markets,79.15,-0.11%,73.80M,1.04K,-,-0.52,-,1.26K,-,-,6.84,-,Neutral,Sell,Buy,Buy,Strong Buy,-0.11,-0.44,-3.73,9.89,9.30,-,8.61,8.64%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,68,-5.77,16.40,-4.55%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.24,1.24,0.47,65.35,0.00,1.47,47.37,61.08,77.37,48.86,-37.44
718,FII SP DOWNT,SPTW11,BM&FBovespa,Real Estate,Equity Real Estate Investment Trusts (REITs),40.75,0%,73.43M,3.61K,-,-0.61,-,3.26K,-,-,5.04,-,Sell,Sell,Neutral,Strong Sell,Sell,0.00,1.44,-4.41,-4.88,7.13,-61.41,2.63,12.37%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,37.77,-9.44,7.89,-10.83%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.73,1.12,0.27,1.34,0.00,0.59,45.47,42.87,100.00,28.04,-37.92
719,More Recebiveis Imobiliarios FII FI Imobiliario,MORC11,BM&FBovespa,Financial,Capital Markets,92.48,0.74%,72.67M,2.57K,-,-0.49,-,3.04K,-,-,13.20,-,Strong Buy,Strong Buy,Neutral,Strong Sell,Buy,0.74,1.59,-0.85,5.31,11.26,-,7.94,14.27%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.8,82.39,-4.46,12.25,-2.3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.42,0.99,1.13,103.45,0.35,-0.73,51.18,40.06,100.00,41.20,-44.51
720,Rio Bravo Renda Residencial FI Imobiliario,RBRS11,BM&FBovespa,Financial,Capital Markets,51.96,-5.49%,72.20M,722.00,-,-2.37,-,705.00,-,-,5.76,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-5.49,-5.78,-16.36,-20.06,-21.27,-,-21.27,11.09%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.73,51.96,-32.28,0.00,-7.72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.43,2.55,-8.28,-152.50,-6.01,-21.12,28.13,28.40,0.00,36.27,-100.00
721,FI Imobiliario de Cri Integral Brei,IBCR11,BM&FBovespa,Financial,Capital Markets,87.08,0.13%,69.92M,851.00,-,-0.36,-,2.34K,-,-,10.80,-,Strong Buy,Strong Buy,Buy,Sell,Strong Sell,0.13,0.74,-0.23,2.22,4.88,-,5.55,12.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.99,81.28,-7.35,7.14,-1.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.03,0.86,0.91,95.58,0.66,1.98,52.99,68.06,86.06,43.49,-24.36
722,FII Edificio Galeria,EDGA11,BM&FBovespa,Real Estate,Equity Real Estate Investment Trusts (REITs),18.18,-0.11%,69.30M,2.17K,-,-0.04,-,1.62K,-,-,1.80,-,Strong Buy,Strong Buy,Buy,Strong Sell,Strong Sell,-0.11,1.56,0.94,-21.23,-21.84,-62.57,-21.33,9.9%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,16.85,-24.25,7.89,1.28%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.90,0.47,0.29,102.74,0.12,5.09,53.41,62.51,93.87,46.80,-28.56
723,DOVEL,DOVL11B,SOMA,Real Estate,Equity Real Estate Investment Trusts (REITs),921.81,0%,69.23M,0.00,-,-,-,0.00,-,-0.34,3.23,-,-,-,-,-,-,0.00,2.93,2.93,2.93,2.93,-10.78,2.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,921.81,921.81,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
724,Textil Renauxview,TXRX3,BM&FBovespa,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",16.21,0%,69.20M,0.00,-0.68,-,201.47M,120.00,-4.40,0.55,-,-,-,-,-,-,-,0.00,0.00,0.00,-52.32,-52.32,305.25,-52.32,-,-1.72,0.16,41.19,0.00,-0.10,-,0.00,0.00,-,31.88,35.45,13.47,-,0.86,1.99,-,-,6.56,31,16.2,-47.71,0.06,-,31.52,30.76,15.89,46.73,-9.28,12.89,-9.31,12.81,0.16,0.42,-,-96.55,-,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-
725,RB Capital Renda II FII,RBRD11,BM&FBovespa,Real Estate,Equity Real Estate Investment Trusts (REITs),36.59,1.33%,67.76M,878.00,-,-0.74,-,1.01K,-,-,3.60,-,Strong Buy,Strong Buy,Strong Sell,Strong Sell,Strong Sell,1.33,-1.11,-5.16,-8.82,-11.20,-64.79,-9.90,9.84%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.84,35.25,-26.59,3.80,-6.73%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.30,0.76,-0.83,-99.03,0.00,-1.88,37.31,28.40,100.00,30.08,-68.78
726,JOAO FORTES ON,JFEN3,BM&FBovespa,Real Estate,Real Estate Management & Development,0.64,-3.03%,67.33M,47.20K,-0.48,-0.05,17.04M,183.41K,-1.49,1.10,-,-,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-3.03,-8.57,-23.81,-33.33,-37.25,-62.13,-39.05,-,-0.44,4.08,-3.43,6.04,-0.11,4.29,52.14,12.13,-,187.20,260.51,-55.23,-,0.01,0.08,-,-,0.03,2.05,0.6,-68.78,6.67,-16.28%,-289.44,-64.70,-401.50,-235.66,-960.79,-271.81,-917.09,-267.87,0.11,0.86,88.85,-93.29,-,0.00,-,43.24,0.05,-0.18,-200.00,-0.07,-20.00,25.63,39.19,0.00,37.44,-82.61
727,Personale I,PRSN11B,SOMA,Real Estate,Equity Real Estate Investment Trusts (REITs),2.32,0%,67.21M,0.00,-,0.19,-,161.00,-,-,-,-,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,0.00,0.00,4.50,43.64,46.51,-51.97,40.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.44,0.68,-32.56,241.18,5.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.41,0.06,-0.01,53.50,0.04,-6.83,58.91,44.60,45.22,70.08,-43.48
728,Quasar Rendimentos Credito Imobiliario FII,QAMI11,BM&FBovespa,Financial,Capital Markets,81.5,-1.14%,66.99M,290.00,-,-0.51,-,365.00,-,-,9.60,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-1.14,0.00,-1.98,-4.91,-5.78,-,-4.34,11.78%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.76,80.22,-10.20,1.60,-2.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.48,1.90,-2.08,-85.26,0.00,-0.55,38.61,47.02,46.93,60.31,-69.48
729,Votorantim Securities Master,VOTS11,BM&FBovespa,Financial,Capital Markets,82.88,-0.02%,66.66M,8.00,-,-0.52,-,75.00,-,-,10.32,-,Strong Buy,Strong Buy,Buy,Neutral,Strong Buy,-0.02,3.41,3.07,-3.06,1.06,0.88,1.37,12.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,77.08,-14.56,7.52,-3.29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.80,1.93,2.53,98.00,1.39,6.16,52.30,77.73,99.58,55.69,-11.88
730,Dtcom,DTCY3,BM&FBovespa,Industrials,Professional Services,5.91,0%,65.78M,200.00,-14.04,-0.15,7.84M,879.00,-0.35,0.11,-,-,Neutral,Sell,Strong Sell,Strong Sell,Strong Sell,0.00,0.00,-6.19,-21.72,-23.25,37.34,-20.14,-,-14.04,8.39,0.00,35.50,-28.15,-,0.00,0.00,240.43,17.54,-27.55,-8.48,-25.21,0.53,0.00,-,-,4.90,8.2,5.01,-27.93,17.96,-6.19%,13.15,34.29,-63.27,12.15,-75.66,-4.71,-65.00,-7.19,0.00,0.42,135.09,0.00,-,0.00,0.00,18.93,0.39,-0.42,-78.31,0.00,-6.93,42.33,47.91,14.26,60.28,-60.77
731,Bocaina Infra FICF Inc de Inv Infra Renda Fixa CP,BODB11,BM&FBovespa,Financial,Capital Markets,9.2,0.11%,65.41M,11.61K,-,-0.06,-,24.88K,-,-,1.80,-,Strong Buy,Strong Buy,Strong Sell,Sell,Neutral,0.11,0.44,-1.92,-,-,-,-,19.57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.75,9.11,-14.42,0.99,-2.52%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82.08,0.07,-0.12,-88.72,0.00,-0.76,38.33,47.54,66.22,59.04,-57.14
732,Sansuy,SNSY3,BM&FBovespa,Materials,Chemicals,5.77,0%,65.25M,0.00,-0.15,-0.50,821.64M,1.58K,-22.12,0.99,-,-,Strong Buy,Strong Buy,Neutral,Strong Sell,Strong Sell,0.00,0.00,4.91,-35.89,-45.05,-,-42.30,-,-0.14,0.03,4.81,0.77,-0.01,-,-85.61,-61.52,-,12.06,14.33,16.09,10.70,1.78,5.85,-,-,8.02,10.44,4.1,-44.73,40.73,-22.89%,17.38,12.89,-2.53,-12.84,-20.91,-30.26,-20.78,-30.13,0.42,0.86,-,-10.31,-,0.00,-,78.34,0.50,0.61,40.42,0.21,-17.45,46.95,48.06,100.00,46.39,-42.22
733,FII Alianza Multiestratégia,ALZM11,BM&FBovespa,Financial,Capital Markets,88.14,0.78%,64.27M,716.00,-,-1.21,-,842.00,-,-,13.20,-,Neutral,Buy,Neutral,Sell,Neutral,0.78,-0.56,-5.11,11.11,24.73,-,23.28,14.98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.84,69.02,-8.98,27.70,-1.08%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.32,2.91,-0.57,-6.22,0.00,-1.36,45.73,57.20,67.82,55.35,-46.83
734,Luggo Fundo,LUGG11,BM&FBovespa,Financial,Capital Markets,71.1,-1.21%,63.99M,148.00,-,-1.49,-,522.00,-,-,6.24,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-1.21,-1.37,-4.97,-18.75,-19.19,-,-19.20,8.78%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.07,69.58,-23.61,2.18,-6.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.42,2.40,-2.90,-78.86,-1.13,-4.56,30.40,25.75,0.60,59.85,-82.67
735,Jpp Allocation,JPPA11,BM&FBovespa,Financial,Capital Markets,104.5,0.22%,63.11M,851.00,-,-0.13,-,3.08K,-,-,18.00,-,Strong Sell,Neutral,Sell,Strong Buy,Strong Buy,0.22,0.18,0.01,6.17,8.91,-9.13,9.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112.48,93.07,-7.09,12.28,1.71%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.73,1.97,-0.62,-40.86,0.00,0.09,47.27,37.31,9.06,45.88,-64.47
736,Mercantil de Investimentos Pref,BMIN4,BM&FBovespa,Financial,Capital Markets,13,0%,62.73M,0.00,9.47,-0.17,26.29M,275.00,1.37,-,1.19,-,Neutral,Neutral,Sell,Strong Sell,Strong Sell,0.00,0.00,0.00,-24.42,-24.86,-28.57,-25.29,9.15%,13.51,3.40,-2.14,0.00,0.67,0.67,214.29,74.24,-37.21,103.67,84.16,-11.41,0.00,-,0.00,-,-,-,23.28,12.25,-44.16,6.12,1.88%,-,0.00,47.61,12.22,47.37,11.18,25.19,8.13,0.01,-,0.00,0.00,4.30,0.00,7.81,61.29,0.32,-0.14,-22.50,-0.04,-1.06,46.88,58.15,77.50,46.80,-53.99
737,Maresias FII,MMVE11,BM&FBovespa,Financial,Capital Markets,130,0%,62.40M,0.00,-,-,-,10.80K,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,130,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
738,RB Capital Logistico FI Imobiliario FII,RBLG11,BM&FBovespa,Financial,Capital Markets,95.9,0%,61.40M,0.00,-,0.59,-,33.00,-,-,10.56,-,Strong Sell,Strong Sell,Neutral,Buy,Strong Buy,0.00,-1.26,-2.64,8.98,11.45,-,11.51,11.01%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110,75.08,-12.82,27.73,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.26,0.99,-4.09,-250.74,-1.86,-2.64,38.55,81.76,0.00,61.42,-45.35
739,Even Permuta Kinea,KINP11,BM&FBovespa,Financial,Capital Markets,8.4,1.82%,61.17M,1.82K,-,-0.33,-,5.25K,-,-,2.89,-,Neutral,Neutral,Strong Sell,Strong Sell,Strong Sell,1.82,3.19,-10.16,-37.55,-40.00,-27.52,-31.48,34.38%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.24,7.2,-51.28,16.67,-7.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.88,0.37,-0.04,-37.54,-0.13,-10.26,37.90,39.65,66.95,41.94,-48.36
740,Fii Vinci If,VIFI11,BM&FBovespa,Financial,Capital Markets,7.2,0.7%,60.99M,3.58K,-,-0.10,-,19.98K,-,-,0.72,-,Strong Buy,Strong Buy,Strong Sell,Strong Sell,Neutral,0.70,-0.14,-4.89,-1.75,2.56,-,0.78,10%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.2,6.71,-12.20,7.30,-3.98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.18,0.13,-0.29,-85.51,-0.05,-3.23,38.21,32.63,56.77,53.87,-59.62
741,Pedra Negra Renda Imobiliária,FPNG11,BM&FBovespa,Financial,Capital Markets,75,0%,59.87M,0.00,-,6.98,-,3.00,-,-,8.76,-,Neutral,Buy,Buy,Strong Buy,Strong Buy,0.00,0.98,1.05,15.42,-,-,-,11.68%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,59.32,-25.00,26.43,-0.91%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.44,4.59,0.34,45.25,3.51,-11.36,44.11,95.69,96.65,69.15,-6.89
742,Karsten Pref,CTKA4,BM&FBovespa,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",8.7,0%,55.85M,100.00,-3.63,-0.39,614.18M,836.00,-2.47,1.55,-,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,0.00,3.45,-10.86,-51.10,-45.63,-27.98,-54.21,-,-5.96,0.15,6.50,-3.33,-0.56,-0.53,0.00,0.00,0.00,11.61,23.16,12.05,8.56,1.02,1.91,200.26,-5.00,4.41,19,8,-54.21,8.75,-11.86%,35.79,40.61,3.90,10.13,-2.02,0.77,-2.50,0.83,0.61,1.52,0.00,-352.18,-,0.00,0.00,33.53,0.60,-0.72,-80.26,-0.09,-15.04,41.97,47.87,58.21,48.40,-60.45
743,Panorama Properties Fundo,PNPR11,BM&FBovespa,Financial,Capital Markets,100,0%,55.82M,0.00,-,17.47,-,27.90K,-,-,-,-,Neutral,Neutral,Neutral,Neutral,-,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.05,100,-0.05,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,0.01,12.10,-35.90,-0.00,0.00,50.00,83.33,100.00,0.00,-100.00
744,Atom Participacoes,ATOM3,BM&FBovespa,Communication Services,Media,2.22,-2.63%,54.75M,31.90K,4.92,-0.06,35.62M,16.32K,0.46,0.74,0.07,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-2.63,-4.31,-2.63,-13.42,-13.13,72.09,-14.84,2.73%,5.24,1.52,8.21,5.98,2.03,3.49,1.07K,43.88,-,32.72,19.69,0.00,-,1.11,0.00,2.81,607.00,2.96,3.24,2.11,-31.48,5.21,-3.33%,98.70,-,28.74,27.71,31.51,44.32,29.56,41.45,19.93,20.63,1.76,30.16,-,0.00,103.29,28.48,0.09,-0.08,-161.54,-0.06,-4.31,39.16,32.70,13.14,36.33,-91.67
745,Santanense,CTSA3,BM&FBovespa,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",2.92,-0.34%,54.26M,1.40K,-,-0.61,484.66M,3.29K,-1.24,-,0.01,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-0.34,-7.01,-47.10,-60.43,-62.37,-86.27,-61.43,1.24%,-1.59,0.11,5.99,1.49,0.20,0.43,0.00,0.00,61.71,-33.63,-19.95,9.79,-27.83,0.74,5.96,-,-,5.13,11.53,2.8,-74.67,4.29,-41.42%,10.14,19.18,-9.35,10.65,-10.98,6.05,-7.12,5.26,0.54,0.84,18.89,59.78,14.44,-100.00,24.45,63.42,0.32,-0.98,-120.08,-0.33,-42.97,13.71,27.67,42.40,35.21,-92.64
746,Santanense Pref,CTSA4,BM&FBovespa,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",1.95,-2.01%,54.26M,7.50K,-,-0.14,484.66M,12.17K,-1.24,-,0.01,-,Strong Buy,Neutral,Strong Sell,Strong Sell,Strong Sell,-2.01,-2.99,-21.37,-62.72,-65.97,-74.10,-63.55,2.04%,-1.61,0.11,5.99,1.50,0.20,0.43,0.00,0.00,61.71,-33.63,-19.95,9.79,-27.83,0.74,5.96,-,-,5.13,6.03,1.87,-67.66,4.28,-18.55%,10.14,19.18,-9.35,10.65,-10.98,6.05,-7.12,5.26,0.54,0.84,18.89,59.78,14.44,0.00,24.45,43.35,0.10,-0.27,-114.47,0.00,-11.77,28.98,39.98,83.29,58.50,-78.95
747,CEDRO PN,CEDO4,BM&FBovespa,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",4.3,0%,54.07M,0.00,-2.05,-0.04,1.21B,2.48K,-2.10,0.71,-,-,Strong Buy,Strong Buy,Strong Buy,Neutral,Strong Sell,0.00,5.13,-0.92,-14.00,-18.71,-38.83,-21.68,-,-2.57,0.04,-1.03,-0.82,0.46,0.43,725.39,-275.63,30.18,31.51,33.06,13.54,66.55,1.41,5.83,-,-,6.90,6.71,3.94,-35.92,9.14,-2.85%,13.78,14.82,3.97,5.89,-2.16,1.13,-1.73,1.98,0.43,0.86,94.25,228.71,-,0.00,0.00,28.05,0.23,0.20,67.69,0.04,1.66,52.05,25.14,74.78,52.66,-40.98
748,Cedro Cachoeira,CEDO3,BM&FBovespa,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",6.24,0.65%,54.07M,200.00,-2.05,-0.08,1.21B,484.00,-2.10,0.71,-,-,Strong Buy,Strong Buy,Buy,Buy,Strong Sell,0.65,4.35,4.17,-13.21,-10.98,-22.00,-10.98,-,-2.57,0.04,-1.03,-0.82,0.46,0.43,725.39,-275.63,30.18,31.51,33.06,13.54,66.55,1.41,5.83,-,-,6.90,8.48,5.45,-26.42,14.50,11.74%,13.78,14.82,3.97,5.89,-2.16,1.13,-1.73,1.98,0.43,0.86,94.25,228.71,-,0.00,0.00,36.89,0.17,0.30,165.88,0.22,4.00,53.18,81.65,100.00,69.03,0.00
749,Brio Multiestratégia Fundo,BIME11,BM&FBovespa,Financial,Capital Markets,7.79,-0.26%,52.84M,4.88K,-,-0.23,-,18.83K,-,-,0.72,-,Neutral,Strong Sell,Strong Sell,Strong Sell,Neutral,-0.26,-1.64,-6.03,-8.60,-8.22,-,-9.63,9.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.36,7.38,-16.77,5.56,-11.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82.75,0.20,-0.33,-231.68,-0.02,-1.89,26.80,76.81,57.79,54.29,-40.58
750,BB Recebiveis Imobiliários,BBIM11,BM&FBovespa,Financial,Capital Markets,0.02,0%,52.47M,0.00,-,-,-,0.00,-,-,2.16,-,-,-,-,-,-,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
751,Inter Titulos,BICR11,BM&FBovespa,Financial,Capital Markets,102.88,1.86%,51.44M,6.00,-,0.67,-,16.00,-,-,13.20,-,Buy,Buy,Strong Buy,Strong Buy,Strong Buy,1.86,0.00,5.77,8.29,8.28,-,8.28,12.83%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110,80.01,-6.47,28.58,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.05,2.30,3.53,72.29,2.47,1.90,55.90,96.22,94.20,71.28,-0.08
